OBJECTID,Countyname,ST_Name,ST_Abbr,ST_ID,FIPS,FatalityRa,Confirmedb,DeathsbyPo,PCTPOVALL_,Unemployme,Med_HH_Inc,State_Fata,DateChecke,EM_type,EM_date,EM_notes,url,Thumbnail,Confirmed,Deaths,Age_85,Age_80_84,Age_75_79,Age_70_74,Age_65_69,Beds_Licen,Beds_Staff,Beds_ICU,Ventilator,POP_ESTIMA,POVALL_201,Unemployed,Median_Hou,Recovered,Active,State_Conf,State_Deat,State_Reco,State_Test,AgedPop,NewCases,NewDeaths,TotalPop,NonHispWhP,BlackPop,AmIndop,AsianPop,PacIslPop,OtherPop,TwoMorPop,HispPop,Wh_Alone,Bk_Alone,AI_Alone,As_Alone,NH_Alone,SO_Alone,Two_More,Not_Hisp,Age_Less15,Age_15_24,Age_25_34,Age_Over75,Agetotal,NonHisp,Age_35_64,Age_65_74,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Shape__Area,Shape__Length
11,Chilton,Alabama,AL,01,01021,0.579710144927536,781.37,4.5297035309039,17.3,3.6,95.3209,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01021.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,345,2,602,804,1385,2088,2048,30,26,6,2,44153,7542,703,47547,0,0,55545,1124,0,519604,6927,14,0,43930,35205,4112,39,190,0,80,888,3416,36599,4148,123,190,0,1858,1012,43930,8739,5398,5829,2791,43930,40514,17037,4136,14,8,28,8,11,14,10,6,7,11,13,4,5,3,2578311153.36328,248010.691812225
12,Choctaw,Alabama,AL,01,01023,5.45454545454545,1713.26,93.4506658359941,22.1,5.5,80.0044,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:41:19 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01023.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,220,12,295,262,680,771,876,25,25,4,0,12841,2806,260,39907,0,0,55545,1124,0,519604,2884,3,0,13075,7370,5570,9,13,0,5,35,73,7420,5590,9,13,0,8,35,13075,2138,1501,1326,1237,13075,13002,5226,1647,3,5,3,7,3,2,2,0,0,0,3,0,1,0,3327550049.23438,323608.879679608
13,Clarke,Alabama,AL,01,01025,1.85758513931888,1350.33,25.0836120401338,22.8,7.5,81.6764,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:41:19 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01025.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,323,6,465,630,956,1041,1534,85,56,10,2,23920,5381,570,40741,0,0,55545,1124,0,519604,4626,6,0,24387,12895,11173,25,123,0,0,123,48,12935,11173,25,123,0,0,131,24387,4330,3187,2593,2051,24387,24339,9651,2575,6,5,9,9,7,4,6,3,1,1,4,2,2,3,4493452678.62109,451605.833227479
14,Clay,Alabama,AL,01,01027,2.24719101123596,670.43,15.0659133709981,17.6,3.9,78.589,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01027.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,89,2,249,332,527,740,804,45,46,4,2,13275,2285,233,39201,0,0,55545,1124,0,519604,2652,4,0,13378,10740,1971,119,18,0,26,89,415,11106,1977,155,18,0,26,96,13378,2318,1775,1194,1108,13378,12963,5439,1544,4,0,3,8,5,0,0,4,1,2,1,3,5,5,2251836964.81641,244281.320968782
15,Cleburne,Alabama,AL,01,01029,2.08333333333333,320.28,6.67244945619537,16,4.2,93.2118,0,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01029.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,48,1,0,0,0,0,0,0,0,0,0,14987,2356,244,46495,0,0,0,0,0,519604,0,3,0,14938,13839,393,39,3,0,11,291,362,14068,393,39,3,0,126,309,14938,2838,1655,1706,1185,14938,14576,5936,1618,3,3,0,1,2,0,1,2,0,0,6,1,0,-1,2104587305.34375,264503.892819508
16,Coffee,Alabama,AL,01,01031,0.917431192660551,839.93,7.70579282975977,13.8,3.9,110.507,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01031.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,436,4,906,967,1641,2137,2724,131,99,7,2,51909,7053,822,55122,0,0,55545,1124,0,519604,8375,8,0,51288,36223,8746,581,666,0,41,1482,3549,38923,8829,617,666,0,644,1609,51288,10017,6359,6474,3514,51288,47739,20063,4861,8,4,8,9,15,6,5,4,4,3,11,6,1,6,2426650343.25391,203433.951742666
17,Colbert,Alabama,AL,01,01033,1.13636363636364,964.17,10.9565026843432,13.8,4.6,98.3441,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01033.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,528,6,1216,1255,2028,2910,3093,383,300,22,6,54762,7459,1074,49055,0,0,55545,1124,0,519604,10502,19,0,54495,42865,8561,367,244,29,18,1062,1349,43288,8615,367,267,29,723,1206,54495,9559,6298,6496,4499,54495,53146,21640,6003,19,14,14,16,23,16,18,13,4,8,6,9,5,5,2395426527.64453,259065.633012617
18,Conecuh,Alabama,AL,01,01035,3.36134453781513,1938.58,65.162498981836,24.4,5.2,65.3816,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01035.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,238,8,312,250,511,686,948,58,44,8,0,12277,2979,235,32613,0,0,55545,1124,0,519604,2707,7,0,12514,6274,5961,56,18,0,2,98,105,6369,5971,56,18,0,2,98,12514,2181,1485,1288,1073,12514,12409,4853,1634,7,1,3,0,9,1,7,1,5,7,11,6,2,2,3041213977.47656,303910.157387761
19,Coosa,Alabama,AL,01,01037,1.49253731343284,625.29,9.33271115258983,18.9,4.2,85.0484,0,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01037.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,67,1,0,0,0,0,0,0,0,0,0,10715,1973,183,42423,0,0,0,0,0,519604,0,1,0,10855,7084,3713,8,0,0,0,0,50,7133,3713,9,0,0,0,0,10855,1496,1129,1158,1018,10855,10805,4704,1350,1,1,2,1,2,1,0,1,0,0,1,2,0,0,2455713028.03906,207602.081158296
20,Covington,Alabama,AL,01,01039,2.75862068965517,1176.12,32.4447088087384,19.9,4.6,80.5978,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01039.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,435,12,862,1107,1451,1902,2328,187,128,13,4,36986,7239,715,40203,0,0,55545,1124,0,519604,7650,19,0,37351,31146,4790,58,144,13,0,596,604,31624,4826,58,159,13,70,601,37351,6776,4137,4294,3420,37351,36747,14494,4230,19,2,11,4,18,9,2,12,4,11,11,24,0,6,3710915757.13086,284035.186003185
21,Crenshaw,Alabama,AL,01,01041,2.23880597014925,969.33,21.7013888888889,19.5,4.1,78.3004,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01041.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,134,3,311,263,433,741,794,93,57,5,2,13824,2661,257,39057,0,0,55545,1124,0,519604,2542,2,0,13865,9869,3147,106,188,0,0,280,275,9938,3198,109,188,0,146,286,13865,2580,1610,1567,1007,13865,13590,5566,1535,2,5,1,-1,2,0,0,0,0,0,1,1,1,0,2192626965.375,279364.132993317
22,Cullman,Alabama,AL,01,01043,0.898203592814371,800.56,7.19062342705113,14.5,3.3,91.8105,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01043.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,668,6,1101,2297,2649,4277,4479,185,185,12,5,83442,11925,1241,45796,0,0,55545,1124,0,519604,14803,53,0,82313,75826,954,348,334,0,9,1299,3543,78392,998,348,334,3,793,1445,82313,15311,9790,10166,6047,82313,78770,32243,8756,53,44,17,15,49,20,11,7,13,4,24,11,2,5,2862576992.75,291448.437821011
23,Dale,Alabama,AL,01,01045,0.246305418719212,829.32,2.04265054334505,16.2,4.2,90.8342,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:42:44 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01045.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,406,1,864,958,1538,1909,2670,89,77,6,2,48956,7743,846,45309,0,0,55545,1124,0,519604,7939,11,0,49255,34005,9611,300,533,4,244,1488,3070,35889,9749,377,633,4,947,1656,49255,9541,6332,7126,3360,49255,46185,18317,4579,11,4,19,10,36,24,3,11,6,14,6,18,3,6,2007863845.23242,198564.502471312
24,Dallas,Alabama,AL,01,01047,0.884086444007859,2657.27,23.4925606891151,31.4,6.5,68.2324,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01047.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,1018,9,530,922,1260,1318,2675,175,109,23,2,38310,11841,973,34035,0,0,55545,1124,0,519604,6705,16,0,40029,11024,28119,10,224,4,0,236,412,11257,28210,10,224,23,25,280,40029,8001,5428,4674,2712,40029,39617,15221,3993,16,6,18,15,45,8,19,11,1,11,27,22,11,27,3615398857.0625,359864.804194403
25,DeKalb,Alabama,AL,01,01049,0.699300699300699,1402.26,9.80598164880577,21.3,3.8,79.1704,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01049.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,1001,7,1039,1308,2225,3017,4030,134,97,12,3,71385,14975,1150,39491,0,0,55545,1124,0,519604,11619,34,0,71200,57441,979,910,140,99,11,1400,10220,60972,1004,934,140,621,5899,1630,71200,14318,9006,8592,4572,71200,60980,27665,7047,34,26,77,23,51,29,24,18,12,13,53,39,26,14,2973951280.37109,272367.593350527
26,Elmore,Alabama,AL,01,01051,2.04460966542751,1314.01,26.8662913527178,11.2,3.4,121.022,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01051.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,1076,22,1141,1396,1962,3270,4001,138,70,11,3,81887,8559,1283,60367,0,0,55545,1124,0,519604,11770,9,1,81212,59471,17148,186,392,0,197,1471,2347,60824,17402,209,392,0,774,1611,81212,14957,10496,11165,4499,81212,78865,32824,7271,9,38,22,18,14,13,19,18,22,39,28,23,7,10,2404659599.41016,270488.7098659
27,Escambia,Alabama,AL,01,01053,1.5625,1393.27,21.7698922390334,23.6,4.6,77.0193,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01053.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,512,8,658,696,1381,1577,2164,142,95,14,4,36748,8022,656,38418,0,0,55545,1124,0,519604,6476,24,0,37328,22480,11912,1435,135,72,39,417,838,23095,11920,1437,135,72,232,437,37328,6903,4460,4982,2735,37328,36490,14507,3741,24,8,12,16,17,24,15,46,13,5,39,30,5,10,3381230623.32031,287135.525913011
28,Etowah,Alabama,AL,01,01055,1.30963517305893,1042.92,13.6584033326504,17.5,4.1,90.0202,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01055.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,1069,14,1942,2402,3353,4518,6662,739,590,85,14,102501,17509,1768,44903,0,0,55545,1124,0,519604,18877,58,0,102939,80374,15816,424,739,66,80,1560,3880,82710,16212,751,739,66,751,1710,102939,18151,12793,12089,7697,102939,99059,41029,11180,58,60,32,37,48,44,40,11,12,20,63,19,19,9,2074869583.02734,248419.675591369
29,Fayette,Alabama,AL,01,01057,1.11111111111111,547.68,6.08531613217307,23.5,4.1,78.6953,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01057.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,90,1,368,397,613,941,1073,61,45,8,2,16433,3801,267,39254,0,0,55545,1124,0,519604,3392,5,0,16585,14042,1858,0,108,6,0,286,285,14095,1978,0,108,6,0,398,16585,2875,1993,1899,1378,16585,16300,6426,2014,5,3,1,3,6,0,1,1,2,1,0,0,1,0,2364087050.95313,222325.944545874
30,Franklin,Alabama,AL,01,01059,1.68421052631579,3029.05,51.0155278512897,19.2,3.7,78.9639,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01059.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,950,16,565,588,990,1263,1694,125,74,11,3,31363,5939,530,39388,0,0,55545,1124,0,519604,5100,12,0,31542,24313,1338,159,119,0,17,263,5333,26467,1388,488,119,0,2767,313,31542,6432,4298,3993,2143,31542,26209,11719,2957,12,6,4,6,16,4,4,3,6,11,15,11,9,12,2466399795.69922,210510.495233948
31,Geneva,Alabama,AL,01,01061,0,383.83,0,21.3,3.9,75.8265,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01061.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,101,0,439,737,987,1240,1749,83,73,6,2,26314,5537,426,37823,0,0,55545,1124,0,519604,5152,3,0,26491,22235,2468,191,109,4,0,457,1027,22871,2529,210,109,4,243,525,26491,4829,3064,2973,2163,26491,25464,10473,2989,3,2,1,3,6,2,1,3,1,1,8,3,4,4,2049978476.45898,211988.375806966
32,Greene,Alabama,AL,01,01063,4.5,2429.25,109.316166646423,30.1,6.7,57.1841,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:41:19 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01063.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,200,9,202,180,380,254,700,20,20,4,0,8233,2459,191,28524,0,0,55545,1124,0,519604,1716,2,0,8426,1445,6707,48,0,0,0,83,143,1445,6713,48,0,0,0,220,8426,1515,1078,1006,762,8426,8283,3111,954,2,3,3,0,4,2,0,0,3,0,5,12,2,0,2428557960.6875,418134.07832509
33,Hale,Alabama,AL,01,01065,6.33608815426997,2465.03,156.18633709086,25.6,5.1,69.6137,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01065.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,363,23,342,397,405,620,953,39,28,5,0,14726,3705,305,34724,0,0,55545,1124,0,519604,2717,9,0,14887,5898,8743,29,39,0,16,32,130,5898,8748,29,39,0,101,72,14887,2844,1972,1687,1144,14887,14757,5667,1573,9,6,5,6,20,2,1,3,1,4,10,3,8,4,2411293811.88281,297122.489005794
34,Henry,Alabama,AL,01,01067,1.91082802547771,912.31,17.4327386832471,17.9,4.4,92.2736,0,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:43:21 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01067.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,157,3,0,0,0,0,0,0,0,0,0,17209,3037,300,46027,0,0,0,0,0,519604,0,2,0,17124,11805,4727,4,0,0,0,140,448,12179,4749,4,0,0,37,155,17124,2940,2017,1652,1450,17124,16676,6819,2246,2,2,7,3,3,4,0,2,2,1,1,0,1,1,2031428063.85156,197018.561275929
35,Houston,Alabama,AL,01,01069,1.09204368174727,612.1,6.68436431695346,16.5,4,96.215,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:43:21 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01069.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,641,7,1923,2201,3208,4434,5849,790,784,72,18,104722,17032,1825,47993,0,0,55545,1124,0,519604,17615,34,0,104352,69826,27887,277,848,13,75,1989,3437,72387,28078,305,873,18,522,2169,104352,20043,12611,13559,7332,104352,100915,40524,10283,34,22,24,9,16,26,3,11,17,18,15,12,10,4,2063818623.07227,243285.718624218
36,Jackson,Alabama,AL,01,01071,0.452488687782805,854.34,3.86578011442709,19.7,4.1,84.0581,2.0235844810514,07/14/2020 01:13:06,Govt Ordered Community Quarantine,4/3/2020 10:40:51 PM,AL Governor issued a Shelter In Place order.,https://bao.arcgis.com/covid-19/jhu/county/01071.html,https://coronavirus.jhu.edu/static/media/dashboard_infographic_thumbnail.png,442,2,997,1159,1868,2138,3810,170,92,10,2,51736,10046,955,41929,0,0,55545,1124,0,519604,9972,7,0,52094,46537,1799,545,215,77,50,1366,1505,47412,1799,615,215,77,552,1424,52094,9116,5753,6009,4024,52094,50589,21244,5948,7,17,16,28,31,41,18,11,5,5,11,14,28,6,4336328240.60156,316592.421609896
